day;temperature_max;temperature_min;humidity;precip_intensity;precip_intensity_max;pressure;visibility;wind_speed
2016-05-29 23:00:00+00:00;17.36;11.69;0.78;0;0;1015.1;6216;5.02
2016-05-31 23:00:00+00:00;14.1;11.96;0.91;0.0225;0.2821;1020.3;5421;4.4
2016-06-02 23:00:00+00:00;15.37;9.11;0.82;0;0;1017.3;6195;3.19
2016-06-04 23:00:00+00:00;24.24;13.92;0.77;0;0;1019.7;4.89;2.41
2016-06-06 23:00:00+00:00;23.9;11.05;0.73;0.0007;0.0149;1022.4;6149;1.23
2016-06-08 23:00:00+00:00;20.5;12.44;0.82;0;0;1021.5;5126;2.46
2016-06-10 23:00:00+00:00;22.89;13.88;0.76;0.0034;0.0555;1010.7;6064;1.36
2016-06-12 23:00:00+00:00;18.31;13.18;0.87;0.0327;0.1931;1003.2;6093;4.46
2016-06-14 23:00:00+00:00;18.32;11.75;0.82;0.0011;0.0135;997.2;6187;4.34
2016-06-16 23:00:00+00:00;18.19;13.06;0.88;134;1.0314;1006.8;4727;2
2016-06-18 23:00:00+00:00;18.57;11.32;0.86;0.0442;0.3695;1023.8;6071;3.88
2016-06-20 23:00:00+00:00;20.27;14.47;0.83;0;0;1017.4;5879;3.44
2016-06-22 23:00:00+00:00;20.42;15.47;0.94;0.6602;3.8353;1016.1;4891;1.78
2016-06-24 23:00:00+00:00;17.17;11.68;0.85;0.1367;0.6412;1017.5;6216;3.33
2016-06-26 23:00:00+00:00;21.71;14.66;0.77;0.0036;0.1106;1017.9;5795;4.39
2016-06-28 23:00:00+00:00;16.55;11.77;0.89;0.1189;0.7211;1010.2;5608;7.07
2016-06-30 23:00:00+00:00;17.94;13.1;0.85;0.0271;0.2413;1009.9;5833;7.55
2016-07-02 23:00:00+00:00;18.94;11.98;0.81;0.0028;0.0327;1018.9;6216;3.05
2016-07-04 23:00:00+00:00;22.2;14.66;0.76;3;0.0619;1018;6158;4.16
2016-07-06 23:00:00+00:00;19.72;12.68;0.79;0;0;1020.2;6216;2.42
2016-07-08 23:00:00+00:00;20.42;13.86;0.85;0;0;1018.7;6216;4.61
2016-07-10 23:00:00+00:00;20.29;15.12;0.83;0;0;1009.2;6188;7.94
2016-07-12 23:00:00+00:00;18.43;11.37;0.79;0.0377;408;1018.2;6216;3.17
2016-07-14 23:00:00+00:00;19.26;10.49;0.81;0;0;1027;6216;3.56
2016-07-16 23:00:00+00:00;25.02;17;0.81;0;0;1023;6216;2.75
2016-07-18 23:00:00+00:00;31.04;15.35;0.69;0;0;1016.7;6216;4.62
2016-07-20 23:00:00+00:00;23.77;13.11;0.76;0;0;1016.3;6216;2.51
2016-07-22 23:00:00+00:00;25.04;13.81;0.77;0;0;1020.3;6.13;2.67
2016-07-24 23:00:00+00:00;22.84;14.06;0.76;0;0;1019.9;6064;4.23
2016-07-26 23:00:00+00:00;22.36;16.82;0.85;0.0004;0.0052;1016.5;6104;5.14
2016-07-28 23:00:00+00:00;21.89;16.03;0.83;0;0;1011.9;6.19;4.98
2016-07-30 23:00:00+00:00;22.73;12.99;0.7;0;0;1017;6216;2.59
